Part Name,Unit Part Price ($),Unit Part Count     ,Part Cost Total ($),Description,Part Link,Total: 
RV1103 Pico Mini Linux SBC,15,1,15,Linux-based microcontroller board used as the main processing unit for dealing with audo/video recording and handles data,https://www.amazon.com/dp/B0CSSZFRR3,98.65
SPH0655 Digital MEMS Microphone,1.69,1,1.69,High-sensitivity digital MEMS microphone used for capturing voice an audio,https://www.digikey.com/en/products/detail/syntiant/SPH0655LM4H-1-8/11506911,
SC3336 3MP Camera Module,12.89,1,12.89,3MP compact camera module for capturing images and video footage,https://osoyoo.store/products/osoyoo-basic-starter-kit-with-uno-board-for-arduino-electronic-projects?variant=19254802120822&_gsid=uJdiy8kzx5nV,
MCP73831T-2ACI/OT,0.76,1,0.76,Charger IC Lithium Ion/Polymer SOT-23-5,https://www.digikey.com/en/products/detail/microchip-technology/MCP73831T-2ACI-OT/964301,
SunLED XZVGMDK53W-9,0.35,1,0.35,"Green, Red 570nm Green, 630nm Red LED Indication - Discrete 2.1V Green, 1.95V Red 0603 (1608 Metric)",https://www.digikey.com/en/products/detail/sunled/XZVGMDK53W-9/8259057,
Touch Screen Shield Display Module 320x240 SPI Serial ILI9341 with Touch Pen,14.99,1,14.99,Resistance based touchscreen LCD,https://www.amazon.com/Hosyond-Display-320x240-Compatible-Development/dp/B09XHJ9KRX/ref=sr_1_3?c=ts&s=industrial&sr=1-3&ts_id=306758011&th=1,
Button,5,1,5,Simple electrical button,https://www.amazon.com/DAOKI-100Pcs-6x6x5mm-Momentary-Tactile/dp/B07X8T9D2Q/ref=sr_1_7?crid=2355WUZX2BU52&dib=eyJ2IjoiMSJ9.VXMGYG02-wJJsJHsS_EY8koIn94IJU_WyuQgllrZcQit_17aqPB5UqLUKAyvfIKb2rK8eYCGMWwkWNk7qX2hB4kXmIPmY-vWHeC1p239dDNEUebq5nn6IrQnTfHcnGvMOgre91LBwsuI7gVJj8pzDV1kfSRg7uYW21jFsNhiU8HNko6IT14OkPkjnNYeVGyKyjcpe1QWaQ5pDSG5femp14s3vQXNhd18TRLSNbMCxxxMPEMv5V16aTOCDXOlDU7cfFhjqtCViL7UyaZrI95nnNujTiAhdu3RRWD19ShUtzU.lcRVCZ0UmQE3KrJMI-Tg1R6xz3aHtjTScz8wJ8whiHY&dib_tag=se&keywords=arduino+button&qid=1781850493&s=industrial&sprefix=arduino+butto%2Cindustrial%2C215&sr=1-7,
Orange PLA filament,14.99,1,14.99,3D Printing Filament,https://www.amazon.com/Miailuy-Filament-Tangle-Free-Clog-Free-Compatibility/dp/B0FN46ZXRB/ref=sr_1_1_sspa?crid=25KME8QL42E6O&dib=eyJ2IjoiMSJ9.HQSIeMDtqHb1gsxlza1fSMA9rZBk1OR4O5tY2jRuzn_8_LDp358oRAHspc13jTV68gLtDx7n59G411UQhniGLqVaFhEA2jW4PRJjllVa5SBf1ujCzik8_3qiXVv8i-WrTzifhskoBJF6gspsM8LvdT4E_hViGT7hz0zSAiINCu4ou7oJS2-_u25iSHdhJpD7oM_WKn1MoXifgA4p6GZVFZ65anY_tOsRvLI65HYGEfh_PYYU93WFqsBRljfVCmtQ47Cp9r8wjuMOxgcyV7uF9d2fi8pvmCKRRVNE_HZIaxU.hvRHVM5ZLbvUrW9kX381N03appM2oYBTrPDVv2mO1gM&dib_tag=se&keywords=orange+pla+filament&qid=1781850587&s=industrial&sprefix=orange+pla+filamne%2Cindustrial%2C214&sr=1-1-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&psc=1,
PLA Glue,8,1,8,3D Printing glue for PLA (casing needs to be glued together due to size restrictions preventing screw usage,https://www.amazon.com/ALECPEA-Printer-Glue-Resin-Models/dp/B0G3WYT51V/ref=sr_1_3_sspa?crid=26BDWJWIF6LB4&dib=eyJ2IjoiMSJ9.P2F8PaeFU46uL41tLEvqQV8bLbfovmj_Ox9KdQDyKeYXIqicU4ivXYRMgaPUn6_jj_YXX-V_yDhPAUV1kxnSRCii_CuBbE69vwe-xn1ZMhotge3lptig_NxWCbrcDLgaQ3lsySZKZbTg9ZgUrpJuZLSTzgGIZmN_zO2LH8OrSFnb2_6yGhhNoGH2XlTWH4movenPqZvj4gaYYoDGcsRLbrUwkCorBWJD3w-3DD-Xx_NveJ2tfZeTve3s9Vp078vc2xAg8BGq6KzEO9PDcIPl9nYAu1Nw7BLChFYHH0h0zKM.XeFUVf47KP9ASKCa_vADQqb3-lopXgM1PPStVksvaII&dib_tag=se&keywords=PLA+Glue&qid=1781850675&s=industrial&sprefix=pla+glu%2Cindustrial%2C232&sr=1-3-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&psc=1,
Blomiky 2 Pack 3.7V 800mAh Li-ion Rechargeable Battery,9.99,1,9.99,3.7V 800 mAh battery to power the carrot's microcontroller,https://www.amazon.com/Blomiky-Rechargeable-Battery-Charger-Amphibious/dp/B08Q45XQKW/ref=sr_1_6?dib=eyJ2IjoiMSJ9.tbPOq3QeK06mkMwfFZx1MDc95PlqTx_4srUSyc2b-5l9-ePiFCnXNnqIMAX4F89nuEroKYLET1xGqcHci9tceCdUhAWXWzbDSXLAQp1pvrQwbwwngubRZdHS8o3FhOkgB1lxnXbqsTkdNh2OcrIS5ulxKxalrdrhomJbmTwN7rDgQLTvSl3fJurFLcco4l7AtoNtgasPNg0i-R39-0nQbrsY6NyJzRQ5Ze4nCMA5Maa308FyFnW9nxJY3nFNnfWuRcqItFvwgdgNLOeHkcbnhxLZwzQXq-UzeWcQ5fzJM7M.HSjVRSXVKzfARWHgoYmpT146BMwjUvI_m59ChmZUXpk&dib_tag=se&keywords=14500+Li-Ion+Cell&qid=1780529029&sr=8-6,
ESP8266,14.99,1,14.99,Microcontroller on the pot/holster to drive the touchscreen display,https://www.amazon.com/Hosyond-Wireless-Development-Compatible-Micropython/dp/B09SPWYS4B/ref=sr_1_1_sspa?crid=2XGNWYOC5J7SV&dib=eyJ2IjoiMSJ9.wszY5Ex72M654YbcB9kO5bEMu50mrBK6vB3waqjwC41ynd32iVyDME8T6X_BdP-rZEYExDrwjWgx4khVULRt20aTOuqVfcAgSTiniOAX6aRtiAmHrywrrvKMd-0f4raJ9c9YZYI44eCC6J5cMt3Q04Iqse7E4Z4FRNCYY6idgOjhe1reowjfPp3f5meRHAiVQe_ZTNGnLSj3gtY2Rli6wDDV6XVUN7giDHeC5Gu341A.l2STUletzG01nvuJqzsqZcHecvepwtBAkjAxzog_UQE&dib_tag=se&keywords=ESP+8266&qid=1781851039&sprefix=esp+8266%2Caps%2C263&sr=8-1-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&psc=1,
